,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Temperature,change
0,0,0,0,0,1979,18.6759500376,0.0
1,1,1,1,1,1980,18.6080879038,-0.0678621337999985
2,2,2,2,2,1981,18.6746104433,-0.0013395942999991917
3,3,3,3,3,1982,18.586996243399998,-0.08895379420000182
4,4,4,4,4,1983,18.8548516153,0.1789015776999996
5,5,5,5,5,1984,18.532193087899998,-0.14375694970000197
6,6,6,6,6,1985,18.4465875282,-0.22936250940000136
7,7,7,7,7,1986,18.5691288505,-0.10682118709999955
8,8,8,8,8,1987,18.7790462059,0.10309616829999868
9,9,9,9,9,1988,18.8816239669,0.2056739293000014
10,10,10,10,10,1989,18.8252084899,0.1492584522999998
11,11,11,11,11,1990,19.111743426,0.4357933884000005
12,12,12,12,12,1991,18.755000751300003,0.07905071370000272
13,13,13,13,13,1992,18.745313298299997,0.06936326069999765
14,14,14,14,14,1993,18.7142235162,0.03827347860000074
15,15,15,15,15,1994,19.0198140496,0.34386401200000094
16,16,16,16,16,1995,19.048009015799998,0.37205897819999834
17,17,17,17,17,1996,18.7437283997,0.06777836210000032
18,18,18,18,18,1997,19.0137738542,0.33782381660000027
19,19,19,19,19,1998,19.3756619083,0.6997118706999998
20,20,20,20,20,1999,19.1390060105,0.4630559729000012
21,21,21,21,21,2000,19.1306442524,0.45469421479999994
22,22,22,22,22,2001,19.2111953418,0.5352453042
23,23,23,23,23,2002,19.3547449286,0.678794890999999
24,24,24,24,24,2003,19.2977099925,0.6217599548999999
25,25,25,25,25,2004,19.1918632607,0.5159132231000001
26,26,26,26,26,2005,19.246493613800002,0.5705435762000022
27,27,27,27,27,2006,19.2874173554,0.611467317799999
28,28,28,28,28,2007,19.4031570248,0.7272069871999989
29,29,29,29,29,2008,19.202546581500002,0.526596543900002
30,30,30,30,30,2009,19.2984680691,0.6225180315000003
31,31,31,31,31,2010,19.4081927122,0.7322426746000019
32,32,32,32,32,2011,19.1866487603,0.510698722699999
33,33,33,33,33,2012,19.2198749061,0.5439248684999995
34,34,34,34,34,2013,19.43025043,0.7543003924000011
35,35,35,35,35,2014,19.45561009,0.7796600524000006
36,36,36,36,36,2015,19.48096975,0.8050197124
37,37,37,37,37,2016,19.50632941,0.8303793723999995
38,38,38,38,38,2017,19.53168908,0.8557390423999998
