,Year,Temperature
0,1979,18.675950037566114
1,1980,18.60808790383182
2,1981,18.674610443276446
3,1982,18.586996243425617
4,1983,18.854851615324375
5,1984,18.53219308790455
6,1985,18.446587528172728
7,1986,18.569128850488017
8,1987,18.779046205862397
9,1988,18.881623966940907
10,1989,18.825208489855786
11,1990,19.111743425991733
12,1991,18.75500075131281
13,1992,18.74531329827108
14,1993,18.71422351615413
15,1994,19.019814049586778
16,1995,19.04800901577355
17,1996,18.74372839969876
18,1997,19.013773854245038
19,1998,19.3756619083438
20,1999,19.139006010518596
21,2000,19.130644252441325
22,2001,19.211195341846285
23,2002,19.354744928624793
24,2003,19.29770999248636
25,2004,19.19186326070496
26,2005,19.246493613826445
27,2006,19.287417355372728
28,2007,19.40315702479091
29,2008,19.202546581518597
30,2009,19.29846806912066
31,2010,19.408192712244215
32,2011,19.186648760328925
33,2012,19.219874906083472
