,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Year,IceArea,change,change1993
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,6455322.562999999,0.0,986217.4339999994
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1980,7010784.424,555461.8610000005,1541679.295
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1981,6438129.712,-17192.85099999886,969024.5830000006
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1982,6662314.9870000025,206992.42400000335,1193209.8580000028
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1983,6785270.823,329948.2600000007,1316165.6940000001
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1984,6206512.681,-248809.88199999928,737407.5520000001
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1985,6140910.783,-314411.7799999993,671805.6540000001
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1986,6663552.81,208230.24700000047,1194447.6809999999
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1987,6248912.671,-206409.89199999906,779807.5420000004
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1988,6492643.306,37320.743000000715,1023538.1770000001
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1989,6265363.2689999975,-189959.2940000016,796258.1399999978
