,gmsl_change,year,ice_change
0,0,1993,0
1,3.7213513514,1994,804751.363000002
2,6.4359459459,1995,74934.7600000007
3,8.7821171171,1996,1283419.524
4,12.2908108108,1997,664237.698000002
5,10.3264864865,1998,138480.436000001
6,13.5640540541,1999,-268467.571
7,16.5313513514,2000,43128.7330000019
8,21.7351351351,2001,410270.433999999
9,24.5182282282,2002,-342393.897999998
10,27.6386486486,2003,-75402.29
11,29.4745945946,2004,-69619.3710000012
12,33.9256756757,2005,-517592.091
13,34.9240615616,2006,-308738.456999999
14,35.5505405405,2007,-1756503.474
15,38.0279504505,2008,-1435797.684
16,42.7994594595,2009,-881593.375999999
17,43.9418918919,2010,-1362211.579
18,42.9175675676,2011,-1734624.948
19,53.5505405405,2012,-2558458.662
20,55.8545945946,2013,-823135.773999999
21,59.1204504505,2014,-942004.647
22,69.4256756757,2015,-1655125.876
23,72.1051351351,2016,-1908713.147
24,73.2032432432,2017,-1296332.749
