StateCode,Division,Year,Month,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
106,0,1990,1,3.81,47.2,0.95,0.95,0.95,-0.49,25,458,1.56,0.39,-0.22,-0.63,0.68,0.34,-0.24,34.8,59.5
106,0,1990,2,3.87,49.9,1.64,1.64,2.34,1.01,26,343,1.74,2.15,1.19,-0.08,0.85,0.57,0.04,37.7,62
106,0,1990,3,4.49,54.7,2.33,2.33,2.58,2.33,47,273,1.8,2.36,2.63,0.48,0.47,0.91,0.22,44,65.3
106,0,1990,4,3.92,61.5,2.56,2.56,1.4,2.56,79,112,0.74,1.42,1.98,1.15,0.56,1.58,0.43,49.7,73.4
106,0,1990,5,5.05,69.4,2.87,2.87,1.73,2.87,244,26,0.89,1.04,1.51,1.79,0.78,1.58,0.9,58.2,80.6
106,0,1990,6,2.11,81.1,1.85,1.85,-2.17,0.89,507,0,-1.21,-0.21,0.18,1.56,0.4,0.42,0.89,69.1,93.2
106,0,1990,7,3.58,79.6,1.72,1.72,0.16,0.8,487,0,0.41,-0.65,-0.02,1.24,0.85,0.42,0.83,68.4,90.9
106,0,1990,8,2.3,80,1.21,1.21,-0.98,-0.1,516,0,-0.6,-0.21,-0.88,0.55,0.96,0.24,0.8,67.9,92
106,0,1990,9,3.45,75.7,1.04,1.04,-0.15,-0.3,377,3,0.31,-0.23,-0.05,0.08,1.32,0.33,0.72,63.9,87.6
106,0,1990,10,2.49,62.1,0.92,0.92,-0.04,-0.38,90,109,0.01,0.13,-0.24,-0.27,0.83,0.57,0.76,48.1,76
106,0,1990,11,2.69,55.9,0.65,0.65,-0.5,-0.74,43,226,0.34,0.12,0.19,-0.49,0.49,0.85,0.79,42.9,68.8
106,0,1990,12,2.73,42.6,0.59,0.59,0,-0.73,7,577,0.36,0.36,0.15,0.05,0.11,1.13,0.83,30.5,54.6
106,0,1991,1,3.75,39.5,1.22,1.22,2.09,0.51,6,687,1.52,1.25,1,0.43,0.27,1.15,0.97,30.1,49
106,0,1991,2,2.32,49.7,1.15,1.15,0.17,0.46,16,372,0.16,1.18,1.04,0.67,0.04,0.82,0.94,36.6,62.8
106,0,1991,3,2.14,56.1,0.62,0.62,-1.23,-0.36,59,243,-0.59,-0.33,0.59,0.38,0.29,0.31,0.84,43.1,69.1
106,0,1991,4,5.62,64.4,1.65,1.65,3.26,1.25,130,68,1.89,1.12,1.02,1.24,0.86,0.69,1.5,52.5,76.3
106,0,1991,5,5.29,72.9,1.87,1.87,1.18,1.86,295,7,1.07,1.92,1.37,1.58,1.31,0.73,1.54,62.2,83.5
106,0,1991,6,3.92,78.5,1.92,1.92,0.73,1.92,432,0,0.31,0.88,1.7,1.5,1.2,1.13,1.14,67.5,89.5
106,0,1991,7,3.2,81,2.04,2.04,0.94,2.04,524,0,0.02,0.21,0.73,1.1,1.29,1,1.07,69.4,92.5
106,0,1991,8,3.25,79.5,2.2,2.2,1.12,2.2,490,0,0.41,0.17,0.26,1.16,1.38,1.16,1.06,67.9,91
106,0,1991,9,4.07,71.9,2.52,2.52,1.62,2.52,275,12,0.82,0.77,0.58,1.67,1.56,1.26,1.26,61.1,82.7
