StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      106,      00,   200801,   1.48,   42.1,  -1.32,   1.19,  -1.62,   -.65,      9,    613,   -.77,   -.52,   -.91,   -.79,    .74,    .48,    .26,     30,   54.1,
      106,      00,   200802,   2.37,   47.7,  -1.41,    .84,   -.68,  -1.13,     24,    396,    .21,    -.4,   -.33,   -.62,    .45,    .75,    .35,   34.2,   61.1,
      106,      00,   200803,    3.4,   54.6,   -.95,   1.07,    .93,    -.5,     48,    278,    .74,    .61,    .06,   -.37,    .11,    .74,    .45,   41.1,   68.1,
      106,      00,   200804,   3.36,   61.5,   -.66,   1.15,     .6,   -.16,     90,    111,    .29,    .61,    .57,   -.27,    -.4,    .87,     .6,   48.2,   74.8,
      106,      00,   200805,   3.84,     71,   -.72,    .91,   -.38,   -.45,    271,     16,   -.06,     .1,    .42,    .05,   -.37,    .51,    .77,   58.7,   83.4,
      106,      00,   200806,   3.19,   80.1,   -.85,    .61,   -.62,   -.81,    489,      1,   -.28,   -.28,   -.13,   -.04,   -.39,   -.01,     .9,   68.1,     92,
      106,      00,   200807,   2.59,   81.2,  -1.12,  -1.12,  -1.07,  -1.12,    536,      0,   -.64,    -.6,   -.53,   -.01,   -.46,   -.56,    .89,   69.4,     93,
      106,      00,   200808,   5.27,   79.3,   1.19,   1.19,   3.56,   1.19,    495,      1,    1.9,   1.11,     .6,    .61,    .33,   -.06,   1.14,   68.7,   89.8,
      106,      00,   200809,   4.33,   71.9,   1.71,   1.71,   1.93,   1.71,    286,     13,   1.02,   2.14,   1.49,    .78,    .64,    .19,   1.39,   60.7,   83.1,
      106,      00,   200810,   2.76,   62.6,   1.69,   1.69,    .47,   1.69,    100,    100,     .2,    .65,   1.47,    .67,    .79,    .27,   1.11,   49.3,   75.8,
      106,      00,   200811,   1.54,     53,   -.43,   1.09,  -1.29,    .37,     30,    292,    -.7,   -.34,    .19,    .46,    .54,    .33,    1.1,   39.8,   66.3,
      106,      00,   200812,      2,     44,   -.72,    .64,  -1.01,    -.6,      8,    541,   -.42,   -.82,   -.53,    .46,    .25,    .24,    .76,   31.3,   56.8,
      106,      00,   200901,   1.05,   43.3,  -1.42,  -1.42,  -2.31,  -1.42,     14,    579,  -1.35,  -1.24,  -1.29,    .28,   -.13,    .15,    .42,   29.6,   56.9,
      106,      00,   200902,   1.22,     51,  -2.31,  -2.31,  -3.11,  -2.31,     30,    325,  -1.18,  -1.79,  -1.58,   -.76,   -.34,   -.11,    .46,   36.9,   65.1,
      106,      00,   200903,   3.41,   55.7,      0,  -2.07,    .01,     -2,     54,    253,    .75,   -.21,   -.82,   -.86,   -.06,   -.12,    .44,   43.1,   68.2,
      106,      00,   200904,   3.96,   61.6,    .48,  -1.37,   1.44,    -.6,     82,    110,    .77,    .93,    .31,   -.67,    .34,   -.01,    .63,   48.6,   74.6,
      106,      00,   200905,   4.26,   70.4,    .56,  -1.11,    .36,   -.15,    259,     21,    .28,    .66,    .84,   -.29,   -.22,    .07,    .49,   59.2,   81.6,
      106,      00,   200906,   2.37,   79.9,   -.54,  -1.54,  -1.63,  -1.22,    491,      0,   -.98,    -.5,   -.04,   -.47,    -.7,    -.1,   -.02,   67.9,   91.9,
      106,      00,   200907,   4.37,   81.3,    .42,   -.96,   1.27,   -.07,    557,      1,   1.19,   -.02,     .1,    .25,   -.43,    .29,   -.18,   69.5,   93.1,
      106,      00,   200908,   2.73,   80.3,    .37,   -.87,   -.04,      0,    530,      1,    -.1,    .61,   -.18,    .44,   -.31,   -.24,   -.12,   68.4,   92.1,
      106,      00,   200909,   5.02,   72.5,   1.25,   1.25,   2.75,   1.25,    307,     13,   1.55,   1.03,   1.45,    .82,    .28,    -.1,     .1,   62.1,   82.8,
      106,      00,   200910,   7.26,   60.2,   3.39,   3.39,   6.82,   3.39,    102,    141,    2.3,   2.51,   2.43,   2.09,   1.62,    .82,     .8,   49.6,   70.7,
      106,      00,   200911,   1.31,     55,    3.1,    3.1,    .18,    3.1,     30,    252,   -.95,   1.55,   1.95,   1.59,   1.55,    .81,    .79,   42.3,   67.6,
      106,      00,   200912,   3.63,   39.7,   4.11,   4.11,   3.99,   4.11,      1,    675,   1.16,    .08,   1.75,   2.42,   1.72,   1.15,     .9,   29.5,   49.9,
      106,      00,   201001,   2.51,   39.8,   4.24,   4.24,   1.67,   4.24,      6,    687,    .39,   1.03,    .16,    2.1,   1.82,    1.5,   1.07,   28.8,   50.7,
      106,      00,   201002,    2.7,     40,   4.35,   4.35,   1.63,   4.35,      1,    626,    .57,    .61,   1.07,   2.23,   1.94,   1.87,   1.15,   30.6,   49.4,
