,gmsl_change,month,year
0,-39.25333333333334,1.0,1993.0
1,-38.166666666666664,2.0,1993.0
2,-34.943333333333335,3.0,1993.0
3,-35.6575,4.0,1993.0
4,-38.37333333333333,5.0,1993.0
5,-35.62,6.0,1993.0
6,-34.20333333333333,7.0,1993.0
7,-31.889999999999997,8.0,1993.0
8,-30.820000000000004,9.0,1993.0
9,-27.046666666666667,10.0,1993.0
10,-30.886666666666667,11.0,1993.0
11,-28.413333333333338,12.0,1993.0
12,-30.243333333333336,1.0,1994.0
13,-35.336666666666666,2.0,1994.0
14,-30.76,3.0,1994.0
15,-30.876666666666665,4.0,1994.0
16,-35.1125,5.0,1994.0
17,-36.169999999999995,6.0,1994.0
18,-32.29666666666667,7.0,1994.0
19,-29.61,8.0,1994.0
20,-26.11,9.0,1994.0
21,-23.77666666666667,10.0,1994.0
22,-25.180000000000003,11.0,1994.0
23,-24.08666666666667,12.0,1994.0
24,-24.666666666666668,1.0,1995.0
25,-29.493333333333336,2.0,1995.0
26,-26.76,3.0,1995.0
27,-29.563333333333333,4.0,1995.0
28,-32.63,5.0,1995.0
29,-30.820000000000004,6.0,1995.0
30,-31.0275,7.0,1995.0
31,-26.376666666666665,8.0,1995.0
32,-19.936666666666667,9.0,1995.0
33,-24.23,10.0,1995.0
34,-29.189999999999998,11.0,1995.0
35,-22.74666666666667,12.0,1995.0
36,-30.63,1.0,1996.0
37,-27.013333333333332,2.0,1996.0
38,-28.179999999999996,3.0,1996.0
39,-29.623333333333335,4.0,1996.0
40,-27.323333333333334,5.0,1996.0
41,-29.363333333333333,6.0,1996.0
42,-24.97666666666667,7.0,1996.0
43,-24.3625,8.0,1996.0
44,-18.786666666666665,9.0,1996.0
45,-17.356666666666666,10.0,1996.0
46,-19.393333333333334,11.0,1996.0
47,-23.055,12.0,1996.0
48,-26.544999999999998,1.0,1997.0
49,-29.28333333333333,2.0,1997.0
50,-26.293333333333333,3.0,1997.0
51,-27.05,4.0,1997.0
52,-24.816666666666666,5.0,1997.0
53,-27.003333333333334,6.0,1997.0
54,-21.763333333333335,7.0,1997.0
55,-19.58666666666667,8.0,1997.0
56,-11.185,9.0,1997.0
57,-11.04,10.0,1997.0
58,-14.866666666666667,11.0,1997.0
59,-20.345,12.0,1997.0
60,-22.679999999999996,1.0,1998.0
61,-22.14,2.0,1998.0
62,-21.95,3.0,1998.0
63,-21.953333333333333,4.0,1998.0
64,-25.19666666666667,5.0,1998.0
65,-27.86,6.0,1998.0
66,-26.66333333333333,7.0,1998.0
67,-26.136666666666667,8.0,1998.0
68,-22.24,9.0,1998.0
69,-20.423333333333332,10.0,1998.0
70,-21.7,11.0,1998.0
71,-24.46,12.0,1998.0
72,-25.476666666666663,1.0,1999.0
73,-23.733333333333334,2.0,1999.0
74,-21.713333333333335,3.0,1999.0
75,-23.68,4.0,1999.0
76,-24.08666666666667,5.0,1999.0
77,-25.763333333333332,6.0,1999.0
78,-23.27,7.0,1999.0
79,-20.383333333333336,8.0,1999.0
80,-15.12,9.0,1999.0
81,-11.733333333333334,10.0,1999.0
82,-13.736666666666666,11.0,1999.0
83,-13.280000000000001,12.0,1999.0
84,-17.209999999999997,1.0,2000.0
85,-20.320000000000004,2.0,2000.0
86,-18.476666666666663,3.0,2000.0
87,-20.34333333333333,4.0,2000.0
88,-22.955,5.0,2000.0
89,-23.833333333333332,6.0,2000.0
90,-21.52,7.0,2000.0
91,-17.003333333333334,8.0,2000.0
92,-11.863333333333332,9.0,2000.0
93,-6.176666666666667,10.0,2000.0
94,-11.04,11.0,2000.0
95,-14.88,12.0,2000.0
96,-15.323333333333332,1.0,2001.0
97,-15.786666666666667,2.0,2001.0
98,-14.283333333333333,3.0,2001.0
99,-14.4,4.0,2001.0
100,-17.903333333333332,5.0,2001.0
101,-16.54,6.0,2001.0
102,-12.76,7.0,2001.0
103,-10.766666666666666,8.0,2001.0
104,-2.5233333333333334,9.0,2001.0
105,-6.523333333333333,10.0,2001.0
106,-6.18,11.0,2001.0
107,-10.59,12.0,2001.0
108,-12.406666666666666,1.0,2002.0
109,-10.803333333333333,2.0,2002.0
110,-14.043333333333335,3.0,2002.0
111,-13.6,4.0,2002.0
112,-14.886666666666665,5.0,2002.0
113,-16.596666666666668,6.0,2002.0
114,-11.159999999999998,7.0,2002.0
115,-5.735,8.0,2002.0
116,-3.3800000000000003,9.0,2002.0
117,-0.08333333333333333,10.0,2002.0
118,-3.2600000000000002,11.0,2002.0
119,-5.699999999999999,12.0,2002.0
