dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty,TemperatureChange
1985-01-01,3.01,0.08199999999999999,8.385,0.122,-2.22,0.063,13.677999999999999,0.052000000000000005,0.11158064516128974
1985-02-01,2.7039999999999997,0.085,8.322000000000001,0.11699999999999999,-2.853,0.08,13.731,0.051,-0.09345161290322679
1985-03-01,5.4510000000000005,0.06,11.194,0.087,-0.133,0.086,14.526,0.05,0.09748387096774103
1985-04-01,8.633,0.085,14.421,0.085,2.905,0.113,15.356,0.054000000000000006,0.05690322580644924
1985-05-01,11.425999999999998,0.066,17.203000000000007,0.11699999999999999,5.756,0.11900000000000001,16.136,0.05,0.05167741935483505
1985-06-01,13.569,0.187,19.396,0.24,7.907999999999999,0.146,16.713,0.07,0.025096774193553273
1985-07-01,13.973,0.087,19.711,0.113,8.362,0.141,16.906,0.051,-0.04783870967742132
1985-08-01,14.059,0.087,19.757,0.113,8.514999999999999,0.092,17.012999999999998,0.05,0.15103225806451448
1985-09-01,11.98,0.08,17.634,0.138,6.482,0.135,16.357,0.054000000000000006,0.08248387096773868
1985-10-01,9.338,0.08900000000000001,14.808,0.048,4.051,0.099,15.476,0.054000000000000006,0.08574193548387399
1985-11-01,5.968,0.10400000000000001,11.331,0.102,0.703,0.107,14.388,0.055,0.0017419354838743573
1985-12-01,3.785,0.107,9.044,0.154,-1.368,0.084,13.808,0.055999999999999994,0.032935483870966564
1986-01-01,3.315,0.11699999999999999,8.818,0.071,-2.011,0.076,13.724,0.057,0.1575806451612909
1986-02-01,3.991,0.113,9.699,0.20199999999999999,-1.6370000000000002,0.092,14.084000000000001,0.055999999999999994,0.25954838709677475
1986-03-01,5.755,0.048,11.629,0.077,0.015000000000000013,0.055,14.607999999999999,0.049,0.17948387096774
1986-04-01,8.870999999999997,0.086,14.772,0.20600000000000002,3.105,0.062,15.452,0.054000000000000006,0.15290322580644933
1986-05-01,11.581,0.066,17.393,0.10800000000000001,5.8889999999999985,0.17800000000000002,16.163,0.049,0.07867741935483608
1986-06-01,13.439,0.06,19.211,0.191,7.7200000000000015,0.192,16.695999999999998,0.05,0.00809677419355026
1986-07-01,14.293,0.06,19.987000000000002,0.1,8.738999999999999,0.115,16.991,0.05,0.03716129032257953
1986-08-01,13.972,0.059000000000000004,19.874,0.099,8.433,0.141,16.938,0.05,0.07603225806451519
1986-09-01,11.816999999999998,0.14300000000000002,17.713,0.106,6.395,0.27399999999999997,16.285,0.063,0.010483870967739506
1986-10-01,9.299,0.096,14.802999999999999,0.14800000000000002,3.881,0.157,15.455,0.054000000000000006,0.06474193548387319
1986-11-01,5.9190000000000005,0.1,11.232,0.063,0.7020000000000001,0.092,14.407,0.055,0.020741935483874485
1986-12-01,3.751,0.07200000000000001,9.071,0.075,-1.399,0.105,13.805,0.052000000000000005,0.02993548387096645
1987-01-01,3.139,0.115,8.700999999999999,0.08199999999999999,-2.3440000000000003,0.109,13.758,0.057999999999999996,0.1915806451612898
1987-02-01,4.134,0.091,9.792,0.105,-1.366,0.092,14.161,0.053,0.3365483870967729
1987-03-01,5.245,0.076,11.203,0.07400000000000001,-0.467,0.084,14.538,0.051,0.10948387096774148
1987-04-01,8.594999999999999,0.078,14.69,0.083,2.835,0.22,15.447,0.052000000000000005,0.14790322580644855
1987-05-01,11.525,0.065,17.315,0.13,5.797999999999999,0.136,16.252,0.051,0.1676774193548347
1987-06-01,13.927,0.068,19.660999999999998,0.146,8.105,0.126,16.900000000000002,0.051,0.21209677419355444
1987-07-01,14.89,0.14400000000000002,20.667,0.105,9.326,0.196,17.296,0.063,0.34216129032257925
1987-08-01,13.896,0.127,19.632,0.147,8.319999999999999,0.22699999999999998,17.061,0.06,0.1990322580645163
1987-09-01,12.447,0.075,18.226000000000006,0.13,6.877999999999999,0.218,16.569000000000006,0.053,0.29448387096774553
1987-10-01,9.59,0.077,15.136,0.081,4.0939999999999985,0.08900000000000001,15.621,0.051,0.23074193548387356
1987-11-01,6.056,0.052000000000000005,11.517999999999999,0.161,0.71,0.131,14.561,0.049,0.1747419354838744
1987-12-01,4.489,0.054000000000000006,9.857,0.085,-0.7120000000000001,0.107,14.13,0.048,0.3549354838709675
1988-01-01,3.454,0.07,8.863999999999997,0.12,-1.798,0.09,13.978,0.052000000000000005,0.41158064516129045
1988-02-01,3.422,0.095,9.094,0.09300000000000001,-2.031,0.075,14.064,0.052000000000000005,0.2395483870967734
1988-03-01,5.931,0.085,11.817,0.09300000000000001,0.3659999999999999,0.13699999999999998,14.777999999999999,0.054000000000000006,0.3494838709677399
1988-04-01,8.991999999999997,0.066,14.978,0.11800000000000001,3.289,0.087,15.593,0.051,0.29390322580644934
1988-05-01,11.852,0.091,17.676000000000005,0.062,6.1430000000000025,0.2,16.348,0.054000000000000006,0.2636774193548348
1988-06-01,14.099,0.098,19.974,0.16,8.356,0.085,16.976000000000006,0.057,0.2880967741935585
1988-07-01,14.798,0.068,20.466,0.168,9.186,0.125,17.179000000000002,0.051,0.22516129032258192
1988-08-01,14.553,0.122,20.124,0.255,8.905,0.157,17.173000000000002,0.059000000000000004,0.3110322580645182
1988-09-01,12.681,0.07200000000000001,18.424000000000003,0.141,7.08,0.079,16.553,0.053,0.2784838709677402
1988-10-01,9.979,0.062,15.719,0.19399999999999998,4.363,0.151,15.639000000000001,0.052000000000000005,0.24874193548387424
1988-11-01,6.295,0.07400000000000001,11.837,0.081,0.841,0.07400000000000001,14.465,0.052000000000000005,0.07874193548387431
1988-12-01,4.363,0.057999999999999996,9.707,0.11900000000000001,-0.8520000000000001,0.078,13.923,0.052000000000000005,0.14793548387096678
1989-01-01,2.71,0.10800000000000001,8.094999999999999,0.11800000000000001,-2.5980000000000003,0.11800000000000001,13.565999999999999,0.057999999999999996,-0.00041935483871036183
1989-02-01,3.627,0.095,9.3,0.067,-1.9240000000000002,0.08800000000000001,13.978000000000002,0.055,0.15354838709677487
1989-03-01,5.792000000000002,0.099,11.628,0.07,0.1309999999999999,0.17,14.607,0.057,0.17848387096774054
1989-04-01,8.689,0.10400000000000001,14.541,0.08900000000000001,2.737,0.147,15.422,0.057,0.12290322580644997
1989-05-01,11.28,0.094,17.105,0.20800000000000002,5.4940000000000015,0.13,16.121,0.055999999999999994,0.036677419354834484
1989-06-01,13.447,0.126,19.25,0.183,7.871,0.13,16.725,0.063,0.03709677419355373
1989-07-01,14.612,0.084,20.361,0.079,8.988999999999997,0.102,17.150000000000002,0.057999999999999996,0.196161290322582
1989-08-01,14.135,0.064,19.987,0.152,8.594999999999999,0.145,17.051000000000002,0.052000000000000005,0.1890322580645183
1989-09-01,12.402999999999999,0.10099999999999999,18.198,0.105,6.675,0.15,16.5,0.059000000000000004,0.22548387096773936
1989-10-01,9.76,0.061,15.472999999999999,0.13,4.1,0.212,15.597000000000001,0.051,0.20674193548387443
1989-11-01,6.1789999999999985,0.06,11.718,0.086,0.7490000000000001,0.062,14.524000000000001,0.052000000000000005,0.13774193548387537
1989-12-01,4.43,0.06,9.802,0.055,-0.8070000000000002,0.096,14.058,0.053,0.28293548387096656
1990-01-01,3.2430000000000003,0.09,8.556999999999999,0.099,-1.9390000000000005,0.075,13.890999999999998,0.057,0.3245806451612889
1990-02-01,3.643,0.087,9.225,0.111,-1.7950000000000002,0.07,14.143,0.055999999999999994,0.318548387096774
1990-03-01,6.73,0.099,12.658,0.179,1.0359999999999998,0.094,15.005,0.057999999999999996,0.576483870967742
1990-04-01,9.169,0.059000000000000004,15.058,0.084,3.373,0.125,15.683,0.052000000000000005,0.3839032258064492
1990-05-01,11.831,0.071,17.642000000000003,0.23399999999999999,6.086,0.237,16.397000000000002,0.054000000000000006,0.31267741935483784
1990-06-01,13.892999999999999,0.087,19.785999999999998,0.16399999999999998,8.167,0.129,16.995,0.054000000000000006,0.3070967741935533
1990-07-01,14.784,0.14,20.401,0.105,9.158,0.085,17.246000000000002,0.065,0.2921612903225821
1990-08-01,14.095,0.05,19.956,0.221,8.514,0.162,17.11,0.054000000000000006,0.2480322580645158
1990-09-01,12.195,0.106,17.993000000000006,0.08900000000000001,6.597,0.209,16.465,0.063,0.19048387096773922
1990-10-01,9.882,0.036000000000000004,15.72,0.125,4.285,0.125,15.747,0.053,0.356741935483873
1990-11-01,6.92,0.132,12.561,0.09,1.345,0.07200000000000001,14.77,0.065,0.38374193548387403
1990-12-01,4.425,0.079,9.935,0.057,-0.9220000000000002,0.054000000000000006,14.1,0.055999999999999994,0.3249354838709664
1991-01-01,3.1950000000000003,0.066,8.506,0.044000000000000004,-1.9070000000000005,0.114,13.859000000000002,0.055999999999999994,0.29258064516129245
1991-02-01,4.0440000000000005,0.087,9.774,0.07400000000000001,-1.499,0.098,14.201,0.057,0.37654838709677385
1991-03-01,5.574,0.076,11.411,0.106,-0.129,0.13,14.689,0.055999999999999994,0.2604838709677413
1991-04-01,9.226,0.04,15.123,0.09,3.414,0.159,15.716,0.055,0.4169032258064487
1991-05-01,11.616,0.062,17.441000000000006,0.105,6.009,0.114,16.37,0.054000000000000006,0.2856774193548368
1991-06-01,14.263,0.07400000000000001,19.903,0.124,8.509,0.07200000000000001,17.052,0.057,0.3640967741935519
1991-07-01,14.987,0.055,20.643,0.106,9.273,0.142,17.348,0.053,0.39416129032257885
1991-08-01,14.319,0.057,20.035999999999998,0.086,8.61,0.111,17.163,0.055,0.3010322580645166
1991-09-01,12.677,0.053,18.539,0.235,7.004,0.084,16.572,0.055999999999999994,0.29748387096773854
1991-10-01,9.753,0.064,15.552999999999999,0.066,4.122,0.095,15.619000000000002,0.055,0.22874193548387467
1991-11-01,6.44,0.07,11.862,0.10099999999999999,1.121,0.08800000000000001,14.607,0.055,0.22074193548387377
1991-12-01,4.059,0.040999999999999995,9.284,0.078,-1.061,0.061,13.98,0.052000000000000005,0.20493548387096716
1992-01-01,3.579,0.084,8.914,0.1,-1.6550000000000002,0.09300000000000001,13.960999999999999,0.057999999999999996,0.3945806451612892
1992-02-01,3.931,0.14800000000000002,9.491,0.11599999999999999,-1.5950000000000002,0.087,14.181,0.067,0.3565483870967725
1992-03-01,5.952000000000001,0.069,11.692,0.064,0.2529999999999999,0.086,14.770999999999999,0.055999999999999994,0.34248387096774024
1992-04-01,8.572000000000001,0.061,14.366,0.075,2.785,0.1,15.51,0.055,0.21090322580644916
1992-05-01,11.534999999999998,0.073,17.346,0.095,5.796,0.184,16.319000000000006,0.059000000000000004,0.234677419354842
1992-06-01,13.575999999999999,0.066,19.36,0.094,7.818,0.075,16.886000000000006,0.057999999999999996,0.19809677419355864
1992-07-01,14.139,0.081,19.853,0.083,8.421,0.08199999999999999,17.000999999999998,0.057,0.04716129032257754
1992-08-01,13.765999999999998,0.084,19.435,0.162,8.130999999999998,0.13,16.900000000000002,0.057,0.03803225806451849
1992-09-01,11.672,0.049,17.289,0.122,6.1320000000000014,0.14,16.243,0.053,-0.031516129032262086
1992-10-01,9.353,0.047,15.152,0.057999999999999996,3.676,0.061,15.419,0.054000000000000006,0.028741935483873604
1992-11-01,5.8889999999999985,0.083,11.302999999999999,0.062,0.46299999999999997,0.066,14.343,0.055999999999999994,-0.04325806451612557
1992-12-01,4.075,0.155,9.455,0.157,-1.0630000000000002,0.126,13.902000000000001,0.068,0.12693548387096776
1993-01-01,3.301,0.096,8.666,0.065,-1.9190000000000005,0.076,13.895999999999999,0.062,0.3295806451612897
1993-02-01,3.745,0.09699999999999999,9.42,0.081,-1.7440000000000002,0.054000000000000006,14.085,0.06,0.2605483870967742
1993-03-01,5.922999999999999,0.094,11.790999999999999,0.085,0.1409999999999999,0.07400000000000001,14.725,0.061,0.29648387096774087
1993-04-01,8.69,0.046,14.585,0.11599999999999999,2.823,0.13699999999999998,15.482,0.055,0.1829032258064487
1993-05-01,11.475,0.055999999999999994,17.289,0.084,5.674,0.124,16.230999999999998,0.055999999999999994,0.14667741935483392
1993-06-01,13.517999999999999,0.075,19.292,0.094,7.767,0.146,16.859,0.057999999999999996,0.17109677419355407
1993-07-01,14.595,0.11,20.228,0.062,8.947000000000003,0.174,17.155,0.062,0.201161290322581
1993-08-01,13.835,0.065,19.584,0.066,8.228,0.10800000000000001,16.926000000000002,0.057999999999999996,0.06403225806451829
1993-09-01,11.93,0.102,17.639000000000006,0.06,6.287000000000001,0.121,16.381,0.062,0.10648387096773959
1993-10-01,9.613999999999999,0.064,15.294,0.061,3.987,0.047,15.543,0.057999999999999996,0.15274193548387238
1993-11-01,5.738,0.09,11.091,0.098,0.3629999999999999,0.07,14.41,0.059000000000000004,0.0237419354838746
1993-12-01,4.035,0.081,9.358,0.07,-1.139,0.145,13.904000000000002,0.059000000000000004,0.12893548387096843
